BASE_ADDR,SIDR_ADDR,HWCFG3,HWCFG2,HWCFG1,VER,IPID,SIDR,NAME,NOTES
40000000,400003fc,00000000,00042011,22020104,00000035,00120002,a3c5dd01,TIM2
40000400,400007fc,00000000,00021011,22020104,00000035,00120002,a3c5dd01,TIM3
40000800,40000bfc,00000000,00001011,22020104,00000035,00120002,a3c5dd01,TIM4
40000c00,40000ffc,00000000,00002011,22020104,00000035,00120002,a3c5dd01,TIM5
40001000,400013fc,00000000,00001011,11000100,00000035,00120002,a3c5dd01,TIM6
40001400,400017fc,00000000,00001011,11000100,00000035,00120002,a3c5dd01,TIM7
40002800,40002bfc,00000000,00000000,01001111,00000020,00120033,a3c5dd01,RTC
40002c00,40002ffc,00000000,00000000,00001000,00000021,00120051,a3c5dd01,WWDG
40003000,400033fc,00000000,00000000,00000001,00000023,00120041,a3c5dd01,IWDG
40003400,400037fc,00000000,00000104,00971820,00000020,00121033,a3c5dd01,TAMP
40003800,40003bfc,00000000,00000000,00011001,00000035,00130021,a3c5dd01,SPI2
40003c00,40003ffc,00000000,00000000,00011001,00000035,00130021,a3c5dd01,SPI3
40004400,400047fc,00000000,00000013,30111111,00000023,00130003,a3c5dd01,USART2
40004800,40004bfc,00000000,00000013,30111111,00000023,00130003,a3c5dd01,USART3
40004c00,40004ffc,00000000,00000003,30110110,00000023,00130003,a3c5dd01,UART4
40005000,400053fc,00000000,00000003,30110110,00000023,00130003,a3c5dd01,UART5
40005400,400057fc,00000000,00000000,00000111,00000013,00130012,a3c5dd01,I2C1
40005800,40005bfc,00000000,00000000,00000111,00000013,00130012,a3c5dd01,I2C2
40005c00,40005ffc,00000000,00000000,00000111,00000013,00130012,a3c5dd01,I2C3
40006000,400063fc,00000000,00000000,00004007,00000013,00150011,a3c5dd01,CRS
40007400,400077fc,00000000,00000000,00001111,00000031,00110011,a3c5dd01,DAC
40007c00,40007ffc,00000000,00000000,02010801,00000020,00120011,a3c5dd01,LPTIM1
40008000,400083fc,00000000,00000003,31100000,00000023,00130003,a3c5dd01,LPUART1
40008400,400087fc,00000000,00000000,00000111,00000013,00130012,a3c5dd01,I2C4
40009400,400097fc,00000000,00000000,02000801,00000020,00120011,a3c5dd01,LPTIM2
40009800,40009bfc,00000000,00000000,02000801,00000020,00120011,a3c5dd01,LPTIM3
4000a400,4000a7fc,00000000,00000000,00000011,00000010,00130072,a3c5dd01,FDCAN1
4000d000,4000d7fc,00000000,00000000,00000018,00000022,00150001,a3c5dd02,USBFS,"offset by a page - official base is 4000d400"
4000dc00,4000dffc,00000000,00000000,00000000,00000010,00150021,a3c5dd01,UCPD1
40012c00,40012ffc,00000000,00051011,22322136,00000035,00120002,a3c5dd01,TIM1
40013000,400133fc,00000000,00000000,00011001,00000035,00130021,a3c5dd01,SPI1
40013400,400137fc,00000000,00051011,22322136,00000035,00120002,a3c5dd01,TIM8
40013800,40013bfc,00000000,00000013,30111111,00000023,00130003,a3c5dd01,USART1
40014000,400143fc,00000000,00031011,12101112,00000035,00120002,a3c5dd01,TIM15
40014400,400147fc,00000000,00031011,12101011,00000035,00120002,a3c5dd01,TIM16
40014800,40014bfc,00000000,00021011,12101011,00000035,00120002,a3c5dd01,TIM17
40015400,400157fc,00000000,00000000,00000108,00000021,00130031,a3c5dd01,SAI1
40015800,40015bfc,00000000,00000000,00000108,00000021,00130031,a3c5dd01,SAI2
40016000,400167fc,00000000,00000000,00000404,00000021,00110031,a3c5dd02,DFSDM1
40020000,400203fc,00000000,00000001,22222222,00000020,00100001,a3c5dd01,DMA1
40020400,400207fc,00000000,00000001,22222222,00000020,00100001,a3c5dd01,DMA2
40020800,40020bfc,00000000,00000117,04175a10,00000020,00100011,a3c5dd01,DMAMUX
40023000,400233fc,00000000,00000000,00000001,00000023,00170001,a3c5dd01,CRC
40024000,400243fc,00000000,00000000,00000108,00000012,00110041,a3c5dd01,TSC
4002f400,4002f7fc,00000078,0061ffff,0007102a,00000031,000e0001,a3c5dd01,EXTI
40030400,400307fc,00000000,00000000,00a41431,00000010,00100001,a3c5dd01,ICACHE
40032400,400327fc,00000000,00000000,00004803,00000010,00100062,a3c5dd01,GTZC_TZSC
40032800,40032bfc,00000000,00000000,00000160,00000010,00100063,a3c5dd01,GTZC_TZIC
40032c00,40032ffc,00000000,00000812,00030000,00000010,00100064,a3c5dd01,GTZC_MPCBB1
40033000,400333fc,00000000,00000810,00010000,00000010,00100064,a3c5dd01,GTGZ_MPCBB2
42020000,420203fc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOA
42020400,420207fc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOB
42020800,42020bfc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOC
42020c00,42020ffc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOD
42021000,420213fc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOE
42021400,420217fc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOF
42021800,42021bfc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOG
42021c00,42021ffc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOH
42028000,420283fc,00000000,00000000,00000002,00000024,00110005,a3c5dd01,ADC
420c0000,420c03fc,00000000,00000000,00000002,00000011,00170023,a3c5dd01,AES
420c0400,420c07fc,00170031,a3c5dd01,00000000,00000023,00170031,a3c5dd01,HASH,"ipconfig registers are mirrored"
420c0800,420c0bfc,00000000,00000000,00000006,00000031,00170041,a3c5dd01,RNG
420c2000,420c3ffc,00000000,00000000,00000000,00000011,00170061,a3c5dd08,PKA
420c5000,420c53fc,00000000,00000000,00001b0c,00000010,00170051,a3c5dd01,OTFDEC1
420c8000,420c83fc,00000000,00000000,00000000,00000012,00140022,a3c5dd01,SDMMC1
